Link,Nome,Preço
https://www.kabum.com.br/produto/397686,"Processador AMD Ryzen 3 3200G, 3.6GHz (4GHz Max Turbo), Cache 4MB, Quad Core, 4 Threads, AM4, Radeon Vega 8 Integrado - YD320GC5FIBOX","R$ 530,31"
https://www.kabum.com.br/produto/386973,"Processador Intel Core i7-13700K, 13ª Geração, 5.4GHz Max Turbo, Cache 30MB, 16 Núcleos, 24 Threads, LGA 1700, Vídeo Integrado - BX8071513700K","R$ 2.799,99"
https://www.kabum.com.br/produto/386974,"Processador Intel Core i7-13700KF, 13ª Geração, 5.4GHz Max Turbo, Cache 30MB, 16 Núcleos, 24 Threads, LGA 1700 - BX8071513700KF","R$ 2.699,99"
https://www.kabum.com.br/produto/277256,"Processador Intel Core I5-12600K, 3.7GHz, Cache 20MB, LGA 1700","R$ 1.761,12"
https://www.kabum.com.br/produto/159864,"Processador Intel Celeron G5905, 10ª Geração, 3.50GHz, Cache 4MB, Dual Core, 2 Threads, LGA 1200, Intel UHD Graphics 610 - BX80701G5905","R$ 264,00"
https://www.kabum.com.br/produto/229973,"Processador Intel Core I7-11700K 11ª Geração, 3.6GHz (4.9GHz Turbo), Cache 16MB, LGA 1200 - BX8070811700K","R$ 1.981,27"
https://www.kabum.com.br/produto/416672,"Processador Intel I5-8500, 4.10GHz, Cache 9MB, Hexa Core, 6 Threads, FCLGA 1151","R$ 681,36"
https://www.kabum.com.br/produto/450194,"Processador Intel Core I3-13100, 3.4ghz (4.5ghz Turbo), Lga1700, 12MB Cache, 13ª Geração","R$ 976,68"
https://www.kabum.com.br/produto/199643,"Processador Intel Core I9 11900K 11ª Geração, 3.5GHz, Cache 16MB, Octa Core, 16 Threads, LGA 1200 - BX8070811900K","R$ 2.608,57"
https://www.kabum.com.br/produto/422164,"Processador AMD Ryzen 5 7600 4,00ghz, 6-core, 38MB, Am5","R$ 1.908,92"
https://www.kabum.com.br/produto/252348,"Processador AMD Ryzen R9 5950X, 3.4GHz, Cache 64MB, Hexa Core, 32 Threads, AM4 - 100-000000059","R$ 3.090,52"
https://www.kabum.com.br/produto/270887,"Processador Intel I7-12700KF, 3.6GHz (5.0GHz Max Turbo), Cache 25MB, Dual Core, 20 Threads, LGA 1700 - BX8071512700KF","R$ 2.099,00"
https://www.kabum.com.br/produto/199676,"Processador Intel Core I7-10700KA, 3.8GHz, Cachê 16MB, Octa Core, LGA 1200 - BX8070110700KA","R$ 3.259,95"
https://www.kabum.com.br/produto/229918,"Processador Intel Core I5 11600K 11ª Geração, 3.90GHz, Cache 12MB, Hexa Core, 12 Threads, LGA 1200, Intel UHD Graphics 750 - BX8070811600K","R$ 1.365,02"
https://www.kabum.com.br/produto/169589,"Processador Intel Core I7-11700 11ª Geração, 2.5GHz (4.9GHz Turbo), Cachê 16MB, LGA 1200 - BX8070811700","R$ 1.871,62"
https://www.kabum.com.br/produto/388162,"Processador Intel Pentium Gold G6405, 4.1GHz, Cache 4MB, LGA 1200","R$ 513,81"
https://www.kabum.com.br/produto/175031,"Processador AMD Ryzen 5 3600, 3.6GHz, Cache 36MB, AM4, Cooler Wraith Stealth","R$ 1.929,90"
https://www.kabum.com.br/produto/323010,"Processador Intel Core I5 4590, 3.7GHz, Cache 6MB, LGA 1150, Sem Cooler","R$ 1.728,19"
https://www.kabum.com.br/produto/346359,"Processador Intel Core I5 3570, 3.4GHz, Cache 6MB, LGA 1155, OEM","R$ 677,59"
https://www.kabum.com.br/produto/345222,"Processador Intel Core I5-10400, 2.90GHz, LGA 1200, OEM","R$ 1.075,41"
https://www.kabum.com.br/produto/409972,"Processador Intel I3 2120 3.3ghtz, 3MB, LGA 1155 - OEM","R$ 105,00"
https://www.kabum.com.br/produto/401437,"Processador Intel I7-2600, 3.80GHz, Cache 8MB, FCLGA 1155, OEM","R$ 209,99"
